BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|41.207.68.0/24|3277 3267 2603 1299 3356 25228 25228 25228 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|194.9.82.0/24|3277 3267 2603 1299 3356 25228 25228 25228 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|41.207.64.0/24|3277 3267 2603 1299 3356 25228 25228 25228 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|148.205.0.0/16|293 7018 28513 8151 278 21520|IGP
BGP4MP|02/24/08 19:54:21|A|67.17.82.12|3549|195.245.250.0/24|3549 1239 1257 8437 34779 29015|IGP
BGP4MP|02/24/08 19:54:21|A|207.45.223.244|6453|194.9.82.0/24|6453 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|207.45.223.244|6453|41.207.71.0/24|6453 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|207.45.223.244|6453|41.207.64.0/24|6453 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|207.45.223.244|6453|41.207.68.0/24|6453 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|193.93.204.0/22|3277 3267 25462 3257 20853 30726 39760|IGP
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|200.33.100.0/22|293 7018 28513 8151 21603|IGP
BGP4MP|02/24/08 19:54:21|A|207.45.223.244|6453|203.101.87.0/24|6453 2914 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|89.4.128.0/24|3277 3216 3549 6762 39386 39386 39386 24731|IGP
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|200.33.100.0/22|293 18592 278 21603|IGP
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|200.33.104.0/23|293 18592 278 21603|IGP
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|125.18.63.0/24|3277 3216 3549 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|200.33.97.0/24|293 18592 278 21603|IGP
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|89.4.131.0/24|3277 3267 25462 3549 6453 39386 24731|IGP
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|148.205.0.0/16|293 18592 278 21520|IGP
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|12.108.254.0/24|3277 3267 6453 7018 6389 6197 26829|IGP
BGP4MP|02/24/08 19:54:21|A|134.55.200.31|293|202.140.63.0/24|293 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:21|A|194.85.4.55|3277|148.208.142.0/24|3277 3267 6453 701 28513 8151|INCOMPLETE
BGP4MP|02/24/08 19:54:21|A|213.140.32.148|12956|125.18.63.0/24|12956 1239 1239 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:21|A|213.140.32.148|12956|125.18.63.0/24|12956 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:21|A|213.140.32.148|12956|125.18.63.0/24|12956 1239 1239 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|81.209.156.1|13237|125.18.63.0/24|13237 3549 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|129.250.0.171|2914|148.208.142.0/24|2914 701 28513 8151|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|129.250.0.171|2914|207.181.144.0/24|2914 701 12178 12178 12178 19750|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|129.250.0.171|2914|124.7.244.0/24|2914 6453 4755 9583|IGP
BGP4MP|02/24/08 19:54:22|A|208.51.134.246|3549|202.140.63.0/24|3549 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|129.250.0.11|2914|125.18.63.0/24|2914 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|213.140.32.148|12956|202.140.63.0/24|12956 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|129.250.0.11|2914|148.208.142.0/24|2914 701 28513 8151|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|129.250.0.11|2914|192.107.56.0/21|2914 1239 24 11537 20965 137|IGP
BGP4MP|02/24/08 19:54:22|A|134.55.200.31|293|202.140.63.0/24|293 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|213.140.32.148|12956|202.140.63.0/24|12956 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|213.140.32.148|12956|202.140.63.0/24|12956 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|201.151.232.0/24|5056 701 7018 11172|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|208.51.134.246|3549|202.140.63.0/24|3549 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:22|A|203.62.252.186|1221|192.107.56.0/21|1221 4637 3549 137 137 137|IGP
BGP4MP|02/24/08 19:54:22|A|203.62.252.186|1221|194.9.82.0/24|1221 4637 1299 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|203.62.252.186|1221|41.207.71.0/24|1221 4637 1299 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|203.62.252.186|1221|41.207.68.0/24|1221 4637 1299 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|203.62.252.186|1221|41.207.64.0/24|1221 4637 1299 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|66.161.0.0/17|5056 7018 16966|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|207.210.112.0/22|5056 7018 174 16626|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|195.245.250.0/24|5056 209 3320 5603 29015|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|193.93.204.0/22|5056 1239 3257 20853 30726 39760|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|41.207.71.0/24|5056 1239 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|41.207.68.0/24|5056 1239 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|41.207.64.0/24|5056 1239 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|194.9.82.0/24|5056 1239 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:22|A|167.142.3.6|5056|65.216.196.0/22|5056 701 19612|IGP
BGP4MP|02/24/08 19:54:22|W|192.203.116.253|22388|132.248.0.0/16
BGP4MP|02/24/08 19:54:22|W|64.57.28.241|11537|132.248.0.0/16
BGP4MP|02/24/08 19:54:22|A|64.57.28.241|11537|148.205.0.0/16|11537 18592 278 21520|IGP
BGP4MP|02/24/08 19:54:22|A|64.57.28.241|11537|200.33.97.0/24|11537 18592 278 21603|IGP
BGP4MP|02/24/08 19:54:22|A|64.57.28.241|11537|200.33.100.0/22|11537 18592 278 21603|IGP
BGP4MP|02/24/08 19:54:22|A|64.57.28.241|11537|200.33.104.0/23|11537 18592 278 21603|IGP
BGP4MP|02/24/08 19:54:22|A|64.57.28.241|11537|192.100.180.160/27|11537 18592 278 7974|IGP
BGP4MP|02/24/08 19:54:22|W|203.181.248.168|7660|132.248.0.0/16
BGP4MP|02/24/08 19:54:22|A|134.55.200.31|293|125.18.63.0/24|293 1239 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|213.248.83.252|1299|91.199.184.0/24|1299 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.222.85.45|286|91.199.184.0/24|286 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.140.32.148|12956|91.199.184.0/24|12956 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|129.250.0.171|2914|202.140.63.0/24|2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|213.248.83.252|1299|91.199.184.0/24|1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|W|134.55.200.31|293|91.199.184.0/24
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 3549 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|129.250.0.11|2914|91.199.184.0/24|2914 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|129.250.0.11|2914|202.140.63.0/24|2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|129.250.0.171|2914|125.18.63.0/24|2914 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|89.149.178.10|3257|125.18.63.0/24|3257 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:23|W|213.140.32.148|12956|91.199.184.0/24
BGP4MP|02/24/08 19:54:23|A|213.140.32.148|12956|91.199.184.0/24|12956 3549 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.140.32.148|12956|91.199.184.0/24|12956 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|81.209.156.1|13237|91.199.184.0/24|13237 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|194.9.82.0/24|3130 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|41.207.71.0/24|3130 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|41.207.68.0/24|3130 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|41.207.64.0/24|3130 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|124.7.244.0/24|3130 2914 6453 4755 9583|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|207.181.144.0/24|3130 2914 701 12178 12178 12178 19750|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|193.93.204.0/22|3130 2914 3356 24709 30726 39760|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|202.140.63.0/24|3130 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|125.18.63.0/24|3130 2914 3320 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|12.108.254.0/24|3130 2914 7018 6389 6197 26829|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|65.216.196.0/22|3130 2914 701 19612|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|203.101.87.0/24|3130 2914 9498|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|41.204.0.0/24|3130 2914 701 3741 22572 32398|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|80.243.64.0/20|3130 2914 701 702 6731 12389 21332|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.1|3130|148.208.142.0/24|3130 2914 701 28513 8151|INCOMPLETE
BGP4MP|02/24/08 19:54:23|A|134.222.85.45|286|91.199.184.0/24|286 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.248.83.252|1299|91.199.184.0/24|1299 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.140.32.148|12956|91.199.184.0/24|12956 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|147.28.7.2|3130|124.7.244.0/24|3130 2914 6453 4755 9583|IGP
BGP4MP|02/24/08 19:54:23|A|213.248.83.252|1299|91.199.184.0/24|1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.222.85.45|286|91.199.184.0/24|286 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|81.209.156.1|13237|91.199.184.0/24|13237 3320 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|81.209.156.1|13237|91.199.184.0/24|13237 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.248.83.252|1299|91.199.184.0/24|1299 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.55.200.31|293|91.199.184.0/24|293 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|194.133.5.0/24
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|204.59.32.0/24
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|199.184.35.0/24
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|194.133.192.0/23
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|204.59.33.0/24
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|199.184.36.0/24
BGP4MP|02/24/08 19:54:23|W|209.123.12.51|8001|204.59.34.0/24
BGP4MP|02/24/08 19:54:23|W|213.140.32.148|12956|91.199.184.0/24
BGP4MP|02/24/08 19:54:23|A|134.222.85.45|286|91.199.184.0/24|286 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|204.59.33.0/24|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|199.184.36.0/24|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|204.59.32.0/24|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|204.59.34.0/24|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|194.133.5.0/24|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|199.184.35.0/24|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|209.123.12.51|8001|194.133.192.0/23|8001 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:23|A|81.209.156.1|13237|91.199.184.0/24|13237 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|81.209.156.1|13237|91.199.184.0/24|13237 3320 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|81.209.156.1|13237|91.199.184.0/24|13237 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.140.32.148|12956|91.199.184.0/24|12956 3356 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|213.140.32.148|12956|91.199.184.0/24|12956 1273 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:23|A|134.222.85.45|286|91.199.184.0/24|286 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:24|A|213.140.32.148|12956|91.199.184.0/24|12956 3549 3216 3216 8402 44598|IGP
BGP4MP|02/24/08 19:54:24|A|81.209.156.1|13237|91.199.184.0/24|13237 3320 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|194.133.5.0/24|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|194.133.192.0/23|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|199.184.35.0/24|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|199.184.36.0/24|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|204.59.32.0/24|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|204.59.33.0/24|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|216.218.252.164|6939|204.59.34.0/24|6939 1299 5511 4005|IGP
BGP4MP|02/24/08 19:54:24|A|217.75.96.60|16150|212.52.153.0/24|16150 3549 6453 22351 25543|IGP
BGP4MP|02/24/08 19:54:24|A|129.250.0.11|2914|91.199.184.0/24|2914 1299 8402 44598|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|65.216.196.0/22|6539 6453 7018 19612|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|193.93.204.0/22|6539 6453 20853 30726 39760|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|195.245.250.0/24|6539 1257 8437 34779 29015|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|41.207.71.0/24|6539 3561 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|41.207.64.0/24|6539 3561 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|41.207.68.0/24|6539 3561 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:24|A|216.18.31.102|6539|194.9.82.0/24|6539 3561 2914 8513 25228 36915|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|69.1.234.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|69.1.232.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|206.62.129.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|206.62.140.0/22|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|69.1.233.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|69.1.235.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|69.1.226.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|206.24.210.100|3561|208.81.97.0/24|3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|147.28.7.2|3130|202.140.63.0/24|3130 2914 15412 18101 17443|INCOMPLETE
BGP4MP|02/24/08 19:54:24|A|134.55.200.31|293|69.1.232.0/24|293 3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|134.55.200.31|293|69.1.234.0/24|293 3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|134.55.200.31|293|208.81.97.0/24|293 3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|134.55.200.31|293|69.1.226.0/24|293 3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|134.55.200.31|293|69.1.235.0/24|293 3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|134.55.200.31|293|69.1.233.0/24|293 3561 32523|IGP
BGP4MP|02/24/08 19:54:24|A|217.75.96.60|16150|207.181.144.0/24|16150 3549 701 12178 12178 12178 19750|INCOMPLETE
